PARTNERID,EMAILADDRESS,ADDRESSID,COMPANYNAME
100000000,maria.brown@all4bikes.com,1000000034,All For Bikes
100000001,bob.buyer@amazebikes.com,1000000035,Amaze Bikes Inc
100000002,victor.sanchez@arenasportusa.com,1000000036,Arena Sports Inc
100000003,franklin.jones@atlantausa.com,1000000037,Atlanta Corp Inc
100000004,robert_brown@bikeworlds.com,1000000038,Bike World Inc
100000005,bart.koenig@alphabikes.de,1000000039,Alpha AG
100000006,sarah.schwind@buchungkreis-gmbh.de,1000000040,BuchungsKreis 1010
100000007,mirjam.schmidt@trekcycle-berlin.de,1000000041,Trek Cycle AG
100000008,saskia.sommer@tonabikes-ag.de,1000000042,Tona Bikes AG
100000009,dagmar.schulze@meinebicyclebayern.de,1000000043,Meine Bicycle
100000010,jorgemontalban@avantegrande.co.uk,1000000044,Avante Grande Bikes
100000011,johanna.esther@bikeon.co.uk,1000000045,Bike On
100000012,miguel.luengo@carefreecycles.com,1000000046,Carefree Cycles
100000013,isabel.nemours@gnmbikes.co.uk,1000000047,G&M Bicycle
100000014,igor.tarassow@keepcycling-london.co.uk,1000000048,Keep Cycling
100000015,alexis.harper@icareaussie.com.au,1000000049,iCare Australia
100000016,c.alfaro@ccsport.com.au,1000000050,CC SportWorld
100000017,sven.j@digipay.com.au,1000000051,DigiPay
100000018,yoshiko.kakuji@techcyclecanberra.com.au,1000000052,TechCycle Canberra
100000021,madhu.kumar@hitechsport.com,1000000055,High Tech Sports Inc
100000022,pooja.singh@tiresonfire.co.in,1000000056,Tires On Fire
100000023,ajaz.khan@mxbyk.com,1000000057,MX Bike
100000024,aditya.rajput@fitnessworld.co.in,1000000058,FitnessWorld
100000025,mudassir.k@homerundubai.com,1000000059,Homerun Millwork Inc.
100000026,rehanshehzad@antoniobikes.com,1000000060,Antonio Bandolera
100000027,sarfaraz.khan@khancycles.ae,1000000061,Khan Cycles
100000028,alam.sheikh@palmbeachbikes.ae,1000000062,Palm Beach Bike World
100000029,bhushan.shetty@a2zfitnes.com,1000000063,A to Z Fitness
100000030,romain.le_mason@hudsonsport.ca,1000000064,Hudson SportsTec
100000031,anthony.lebouef@ebike36.ca,1000000065,Ebike 36
100000032,lisa.felske@wichitasport.com,1000000066,Wichita Sport
100000033,jonathan.d.mason@movebybike.ca,1000000067,Move by Bike
100000034,amelie.troyat@techcycletoronto.ca,1000000068,TechCycle
100000035,sophie.ribery@yourcycleshop.fr,1000000069,YourCycleShop
100000036,jorge.velez@unolabmanufacturing.com,1000000070,Unolab Manufacturing
100000037,joseph_gschwandtner@ebike201.fr,1000000071,E bike 201
100000038,george_d_grant@thecyclefactor.fr,1000000072,The Cycle Factor
100000039,theodor.monathy@eiffelbikes.fr,1000000073,Eiffel Bikes
